uri,om_funcionamiento,om_proteccion,om_tipoLuz,om_materialS,geo_long,om_potencia,om_tipoLampara,geo_lat,om_altura,om_tipoSoporte,om_circuitos,om_materialL
http://opendata.caceres.es/recurso/energia/farolas/Farola/11240,S,F,ER,F,-6.384545258077115,125,VMCC,39.46589805540444,6,C,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11241,S,F,O,F,-6.384779052146143,23,FCBC,39.46607698419557,5,O,7,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11242,S,F,O,F,-6.384703639413013,23,FCBC,39.46604560579359,5,O,7,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11243,S,F,O,F,-6.384617454190933,23,FCBC,39.46600974446312,5,O,7,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11244,S,F,AC,F,-6.349369898397836,150,VSAP,39.47560370996837,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11245,S,F,AC,F,-6.349061238185766,150,VSAP,39.47552820072359,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11246,S,F,AC,F,-6.349120231755064,150,VSAP,39.475290995629095,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11247,S,F,AC,F,-6.350386608735412,150,VSAP,39.47515502703357,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11248,S,F,AC,F,-6.350678496007451,150,VSAP,39.47516708996882,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11249,S,F,AC,F,-6.375992224997364,150,VSAP,39.488851375892295,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11250,S,F,AC,F,-6.375641589860144,150,VSAP,39.48883017010664,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11251,S,F,AC,F,-6.375296462735559,150,VSAP,39.488811984902384,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11252,S,F,AC,F,-6.374944011244475,150,VSAP,39.488790211672914,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11253,S,F,AC,F,-6.374596600686301,150,VSAP,39.48877367456094,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11254,S,F,AC,F,-6.375942838197255,150,VSAP,39.48829476337453,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11255,S,F,AC,F,-6.375592205873041,150,VSAP,39.48827355753173,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11256,S,F,AC,F,-6.375247081516571,150,VSAP,39.488255372271404,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11257,S,F,AC,F,-6.374894632853193,150,VSAP,39.48823359898451,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11258,S,F,AC,F,-6.374642475052995,150,VSAP,39.488219613024825,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11259,S,F,AC,F,-6.375631788712579,150,VSAP,39.48807963048886,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11260,S,F,AC,F,-6.375286665296337,150,VSAP,39.48806144537727,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11261,S,F,AC,F,-6.374934217624696,150,VSAP,39.48803967134201,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11262,S,F,AC,F,-6.374633578649029,150,VSAP,39.48802398110506,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11263,S,F,AC,F,-6.374378168257902,150,VSAP,39.48817394921724,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11264,S,F,AC,F,-6.376196044063927,150,VSAP,39.489643020058686,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11265,S,F,AC,F,-6.376209452782264,150,VSAP,39.48946725807521,10,Ba,1,P
